"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"91000","New England","1","SA4","10","...","Personal income (thousands of dollars)",7120409,6583251,5883604,4710482,4407441,4870473,5223763,5867259,6087582,5590333,6021674,6489846,7920636,9764301,11213519,11535607,11644094,12542976,13291643,14045986,13858009,15314130,17038426,18096078,19252169,19542538,20941987,22390931,23642429,23896113,25472380,26550973,27877650,29568315,30868753,33046872,35438608,38494648,41827537,45296149,50092137,54010929,57526289,62322433,67889746,73620137,79341132,86190627,94396916,104910348,117290889,132576796,148165962,161319032,174311129,195596611,211378686,228359062,248434444,273461964,292878429,301162055,305442858,323283181,335381530,349543203,369066158,389875219,414734730,444886128,472325899,521202209,546199664,550768521,565304556,594374175,620465114,667514335,702558135,735337998,727915987,753281178,785316268,812577266,812475360,843685854,883903327,903272776,927575829
"91000","New England","1","SA4","11","...","  Nonfarm personal income 1/",6931537,6395684,5752276,4616263,4302553,4758528,5087454,5712202,5931095,5456925,5885154,6363216,7756763,9520290,10893224,11247351,11315147,12169859,12929540,13639703,13498917,15008160,16689190,17726091,18918092,19287199,20622508,22105270,23361567,23578933,25224958,26235609,27611084,29311874,30620176,32760588,35101238,38153717,41592045,45034069,49802455,53709408,57248247,62039969,67498550,73198514,79037108,85774043,94025009,104526314,116924754,132221488,147708124,160815516,173841051,195039994,210832689,227794171,247809903,272822990,292286191,300480502,304818275,322510445,334674871,348891297,368490911,389212885,414167885,444255241,471645057,520450544,545517262,550145211,564630467,593606210,619728156,666894365,701787108,734739263,727479219,752701323,784697184,811805560,811676188,842934876,883348346,902735352,927022335
"91000","New England","1","SA4","12","...","  Farm income 2/",188872,187567,131328,94219,104888,111945,136309,155057,156487,133408,136520,126630,163873,244011,320295,288256,328947,373117,362103,406283,359092,305970,349236,369987,334077,255339,319479,285661,280862,317180,247422,315364,266566,256441,248577,286284,337370,340931,235492,262080,289682,301521,278042,282464,391196,421623,304024,416584,371907,384034,366135,355308,457838,503516,470078,556617,545997,564891,624541,638974,592238,681553,624583,772736,706659,651906,575247,662334,566845,630887,680842,751665,682402,623310,674089,767965,736958,619970,771027,598735,436768,579855,619084,771706,799172,750978,554981,537424,553494
"91000","New England","1","SA4","20","...","Population (persons) 3/",8130000,8175000,8193000,8220000,8254000,8296000,8361000,8391000,8409000,8427000,8438000,8449000,8586000,8627000,8534000,8588000,8515000,8909000,9059000,9232000,9379000,9316000,9289000,9358000,9628000,9833000,9871000,9928000,10030000,10219000,10437000,10532000,10666000,10800000,10986000,11186000,11329000,11430000,11562000,11637000,11735000,11878088,11996218,12087834,12147736,12156540,12176402,12207302,12257357,12302714,12345269,12371656,12435782,12467917,12544350,12641838,12740544,12833004,12951233,13084523,13181740,13229502,13247630,13271045,13334364,13396380,13472634,13554814,13642197,13733828,13837653,13949721,14041043,14122441,14182454,14206683,14216656,14245540,14279205,14340115,14403575,14468393,14528782,14584723,14643033,14696147,14726156,14757573,14810001
"91000","New England","1","SA4","30","...","Per capita personal income (dollars) 4/",876,805,718,573,534,587,625,699,724,663,714,768,923,1132,1314,1343,1367,1408,1467,1521,1478,1644,1834,1934,2000,1987,2122,2255,2357,2338,2441,2521,2614,2738,2810,2954,3128,3368,3618,3892,4269,4547,4795,5156,5589,6056,6516,7061,7701,8527,9501,10716,11914,12939,13896,15472,16591,17795,19182,20900,22218,22764,23056,24360,25152,26092,27394,28763,30401,32393,34133,37363,38900,39000,39859,41838,43644,46858,49201,51278,50537,52064,54052,55714,55485,57409,60023,61207,62632
"91000","New England","1","SA4","35","...","  Earnings by place of work",5235632,4740337,4081861,3140363,3012513,3466360,3820275,4261585,4635832,4265310,4610307,5014099,6451223,8282886,9753101,10033287,9950689,10376635,10961116,11666801,11381614,12425905,14324957,15083703,16018886,15980275,17038332,18321212,19198874,19332681,20794606,21710846,22592047,23954258,24884544,26474883,28275891,31151082,33469064,36338488,39580140,42111932,44274448,48247222,53036053,56559105,58930490,64882956,71617077,80555626,90379943,99942759,109296185,116789122,127716367,144235459,157935978,172101692,189910237,209549225,219990269,224114945,224679354,237932326,247616704,258886402,271409328,286926944,307464589,331262126,358762544,397822839,417114761,420217148,428551618,451967711,467381856,492676813,513516884,532646558,530162262,548166102,561291175,571389691,577539350,596535646,622942444,637620101,655721252
"91000","New England","1","SA4","36","...","  Less: Contributions for government social insurance 5/",5562,5508,5335,5320,4776,5009,4930,34912,120419,127757,149161,159772,207298,237189,275841,298557,328858,410781,357537,298291,321261,397590,513112,541503,544321,590075,643226,678316,759173,722473,872510,1025025,1073410,1215789,1357548,1400275,1450906,1937111,2134700,2369854,2639216,2774638,3014585,3456442,4363655,4832872,4921570,5524146,6135894,7102455,8295726,9176682,10790016,11779634,13047194,15176244,16770182,18494706,20166159,22628761,23628312,24142093,24627421,25839544,27033897,28609245,30149820,31549545,33589302,35667673,37880947,41128496,42478565,43130291,44065616,47119854,49083298,51049749,53404540,55057987,54136490,55113101,51284663,52804052,61097323,63644897,66068128,68046396,70896406
"91000","New England","1","SA4","37","...","    Employee and self-employed contributions for government social insurance",5043,5055,5012,4805,4519,4753,4611,5023,41104,36047,34383,37932,49333,67613,96575,122177,121945,104151,105981,109079,102465,142334,170951,182774,188620,227293,256233,274811,323018,311074,368746,440889,462207,491574,568398,592160,618276,870008,1004459,1111149,1251048,1322483,1434589,1603889,2028122,2267682,2322034,2523627,2774454,3165698,3740417,4219860,5018451,5533129,6053227,6860659,7863662,8780743,9717173,10986033,11721206,12035297,12426306,13006050,13582000,14410757,15312206,16029848,17135782,18247559,19508840,21141378,21914642,22323106,22855753,24111551,25253368,26572245,27988380,28895895,28292466,28686061,23552099,24147665,31947515,33485375,35051707,36282577,37753216
"91000","New England","1","SA4","38","...","    Employer contributions for government social insurance",519,453,323,515,257,256,319,29889,79315,91710,114778,121840,157965,169576,179266,176380,206913,306630,251556,189212,218796,255256,342161,358729,355701,362782,386993,403505,436155,411399,503764,584136,611203,724215,789150,808115,832630,1067103,1130241,1258705,1388168,1452155,1579996,1852553,2335533,2565190,2599536,3000519,3361440,3936757,4555309,4956822,5771565,6246505,6993967,8315585,8906520,9713963,10448986,11642728,11907106,12106796,12201115,12833494,13451897,14198488,14837614,15519697,16453520,17420114,18372107,19987118,20563923,20807185,21209863,23008303,23829930,24477504,25416160,26162092,25844024,26427040,27732564,28656387,29149808,30159522,31016421,31763819,33143190
"91000","New England","1","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",39721,46721,65443,89355,111836,140402,162858,192547,229252,263649,18077,20254,26922,28372,31712,36519,42043,44333,50917,58574,71466,850810,857162,895741,960224,1005334,1092105,1192291,1294974,1444874,1637689,1870433,2191850,2356648,2520102,2671387,2865725,3126383,3243027,3433311,3699569,3753340,3442291,3438414,4696350,4124907,3919437,4686100,5444407,5074537,6566814,6525698,6779341,6073678,6646019,7753561,7539877,8320029,9450067,10032592,10872801,10266051,12348172,12910470,14750242,13891533,14378886,14640740,15496490,16034583
