"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"40000","Oklahoma","6","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",578617,630521,688741,717486,743225,769324,827216,887979,937780,978525,1062404,1237715,1422332,1595533,1689174,1952063,2263436,2519273,2730387,3056853,3546104,4069428,5072730,6425225,7643272,8198152,9019450,9654748,9373458,9056413,9386808,10312963,10682192,10624553,10876341,11045526,11691130,12617073,13321682,13679716,14666137,14823126,16489417,16765342,16381846,16431460,17304838,18521778,21285503,23915101,25086161,22467908,22294445,25303241,27852873,27512980,29534422,30145333,30304576
"40000","Oklahoma","6","SA40","91","...","  Personal dividend income",72219,83540,90052,95224,97561,100648,116310,132555,135924,135432,163009,174854,181465,192549,211782,247602,287508,292231,361209,430635,485195,547570,607806,701533,831252,786099,780038,878150,912909,938985,1088432,1306264,1443693,1538010,1702709,1820405,2151762,2237811,2635345,2858360,3290571,3422986,4088645,4011862,4336433,4464561,5802489,6306396,8119356,9419061,9589312,7174213,6968375,8560049,10311507,9891905,10991368,11400205,10751947
"40000","Oklahoma","6","SA40","92","...","  Personal interest income",267813,300019,336956,359618,379255,402498,452812,496071,546363,590131,656221,790605,952067,1059800,1162555,1357597,1626612,1877112,2028784,2325848,2725443,3180068,4038963,5084387,6067666,6531409,7396303,7932825,8030660,7751169,7909940,8628220,8755672,8540322,8399269,8297166,8431407,9249032,9407156,9502910,9935351,9863557,10701957,10743009,10018410,9884878,9282604,10003410,11214337,12562394,12852372,12467294,11559621,11839089,12474763,12107355,11981911,12517291,12922956
"40000","Oklahoma","6","SA40","93","...","    Imputed interest receipts 1/",161621,176688,190377,207216,218721,230548,250907,268649,289881,323034,343833,406208,509609,574687,633630,709527,828858,1014640,1081015,1211897,1421178,1532040,1824499,2119792,2614175,3165331,3349277,3815258,4032345,4133455,4208158,4433010,4587593,4750649,4982020,5160395,5277002,5747157,5811449,6045918,6056222,6186171,6512662,6475811,6501965,6585896,6653139,6686069,7096429,7623394,8104357,8471915,8328914,8463731,8693025,8805571,8620287,9063699,9393086
"40000","Oklahoma","6","SA40","94","...","    Monetary interest receipts",106192,123331,146579,152402,160534,171950,201905,227422,256482,267097,312388,384397,442458,485113,528925,648070,797754,862472,947769,1113951,1304265,1648028,2214464,2964595,3453491,3366078,4047026,4117567,3998315,3617714,3701782,4195210,4168079,3789673,3417249,3136771,3154405,3501875,3595707,3456992,3879129,3677386,4189295,4267198,3516445,3298982,2629465,3317341,4117908,4939000,4748015,3995379,3230707,3375358,3781738,3301784,3361624,3453592,3529870
"40000","Oklahoma","6","SA40","95","...","  Rental income of persons 2/",238585,246962,261733,262644,266409,266178,258094,259353,255493,252962,243174,272256,288800,343184,314837,346864,349316,349930,340394,300370,335466,341790,425961,639305,744354,880644,843109,843773,429889,366259,388436,378479,482827,546221,774363,927955,1107961,1130230,1279181,1318446,1440215,1536583,1698815,2010471,2027003,2082021,2219745,2211972,1951810,1933646,2644477,2826401,3766449,4904103,5066603,5513720,6561143,6227837,6629673
"40000","Oklahoma","6","SA40","96","...","    Imputed rent",97839,107023,115610,121607,128941,132735,133498,136270,141141,146045,142040,166312,177881,189682,189529,182056,186020,175044,152893,97414,103540,91409,92168,93556,50170,40176,17097,-8073,-45849,-37879,22150,41490,82317,141579,238980,389746,503345,539382,638939,653321,763567,859525,934914,1135551,1205840,1285785,1356598,1126216,904721,704982,1042114,1600501,2141936,2742313,2971585,3170101,3434206,3693144,4001657
"40000","Oklahoma","6","SA40","97","...","    Monetary rent",140746,139939,146123,141037,137468,133443,124596,123083,114352,106917,101134,105944,110919,153502,125308,164808,163296,174886,187501,202956,231926,250381,333793,545749,694184,840468,826012,851846,475738,404138,366286,336989,400510,404642,535383,538209,604616,590848,640242,665125,676648,677058,763901,874920,821163,796236,863147,1085756,1047089,1228664,1602363,1225900,1624513,2161790,2095018,2343619,3126937,2534693,2628016
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
