"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"09000","Connecticut","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1076871,1172198,1251950,1370190,1508041,1631920,1786343,1946495,2114005,2384920,2327074,2530825,2764049,2931496,3148802,3414419,3813395,4044515,4291509,4725580,5290532,5988387,7321114,9035950,10060537,10474547,12149484,12536108,13354397,14225750,15859297,18810227,18960667,17960875,18529323,19453794,19878936,20788882,21727675,23028960,24556238,24962150,27541341,28210665,26964915,27782182,30398285,33613089,39786121,44463066,44650263,38927922,39824720,43030842,47804030,48198709,51726413,53602213,53958211
"09000","Connecticut","1","SA40","91","...","  Personal dividend income",396046,438104,447536,480805,520761,559223,626228,679483,719450,828343,785236,780611,786899,814014,879347,903563,929821,883008,1024820,1147522,1281838,1437716,1601832,1835794,1999033,2055449,2290556,2271563,2368003,2420494,2598089,3157691,3075411,3190655,3329603,3529010,3854025,4103846,4665810,5310349,5440123,5330297,6057053,5768747,6207312,7013441,9657222,9625673,12303386,14329827,14978341,10067834,10077046,12021162,14629911,13745600,16283489,17226595,16111563
"09000","Connecticut","1","SA40","92","...","  Personal interest income",435723,470346,521984,583200,653861,720420,800035,894636,1006426,1151959,1141403,1379463,1602145,1750881,1909927,2139878,2510706,2810236,2956468,3357800,3793062,4357077,5469119,6887584,7747738,8114448,9580948,9976332,10824368,11668525,12969496,15406496,15542647,14238460,14170382,14249637,13932553,14367158,14349564,15001361,16171569,16466506,18350807,18976519,17064333,16670169,16496023,20142136,24414580,27576348,25700273,23353733,22888641,22749557,24251829,25013709,25881142,26371553,27140739
"09000","Connecticut","1","SA40","93","...","    Imputed interest receipts 1/",167072,185454,205033,226814,249456,263508,293777,314116,350550,387076,439097,536432,646670,715813,792825,853973,995645,1248662,1265835,1400955,1584985,1640570,1967620,2274163,2741712,3427096,3775945,4313813,4876710,5532094,6026443,6709240,6895979,6780816,7162653,7564407,7487222,7779398,7740455,8321902,8405157,8827370,9576039,9655200,9441873,9462816,10169433,11065022,12494927,13561538,13474038,13416435,13982701,13801661,14133894,15253664,15435949,16020325,16555747
"09000","Connecticut","1","SA40","94","...","    Monetary interest receipts",268651,284892,316951,356386,404405,456912,506258,580520,655876,764883,702306,843031,955475,1035068,1117102,1285905,1515061,1561574,1690633,1956845,2208077,2716507,3501499,4613421,5006026,4687352,5805003,5662519,5947658,6136431,6943053,8697256,8646668,7457644,7007729,6685230,6445331,6587760,6609109,6679459,7766412,7639136,8774768,9321319,7622460,7207353,6326590,9077114,11919653,14014810,12226235,9937298,8905940,8947896,10117935,9760045,10445193,10351228,10584992
"09000","Connecticut","1","SA40","95","...","  Rental income of persons 2/",245102,263748,282430,306185,333419,352277,360080,372376,388129,404618,400435,370751,375005,366601,359528,370978,372868,351271,310221,220258,215632,193594,250163,312572,313766,304650,277980,288213,162026,136731,291712,246040,342609,531760,1029338,1675147,2092358,2317878,2712301,2717250,2944546,3165347,3133481,3465399,3693270,4098572,4245040,3845280,3068155,2556891,3971649,5506355,6859033,8260123,8922290,9439400,9561782,10004065,10705909
"09000","Connecticut","1","SA40","96","...","    Imputed rent",193819,214568,234379,253430,275545,289196,295685,305891,320407,334436,328664,292538,273421,287635,276104,257456,258610,237912,199796,101507,92191,63504,64034,64387,2240,-21177,-83113,-174188,-343718,-386032,-235091,-271219,-219735,-88398,303317,870917,1219436,1334163,1600898,1615563,1927477,2177895,2213864,2474758,2670173,3055988,3301554,2761402,2094606,1452784,2683387,4187053,5339588,6471987,7034809,7521340,7562124,7671056,8278955
"09000","Connecticut","1","SA40","97","...","    Monetary rent",51283,49180,48051,52755,57874,63081,64395,66485,67722,70182,71771,78213,101584,78966,83424,113522,114258,113359,110425,118751,123441,130090,186129,248185,311526,325827,361093,462401,505744,522763,526803,517259,562344,620158,726021,804230,872922,983715,1111403,1101687,1017069,987452,919617,990641,1023097,1042584,943486,1083878,973549,1104107,1288262,1319302,1519445,1788136,1887481,1918060,1999658,2333009,2426954
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
