"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"54000","West Virginia","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",284931,308851,329720,342811,364647,397289,425903,454018,462719,476530,498908,555007,626887,685886,753953,850446,992086,1128093,1236133,1393610,1555160,1758531,2177486,2696233,3095812,3300118,3674741,3873088,4005699,4023238,4264873,4728222,4962124,4917218,5051480,5116423,5314665,5646868,5991323,6276889,6669899,6547272,7013999,7061673,6887754,6623124,6740749,6788964,7355863,8083503,8488600,8163336,7824414,8715834,9271734,9134609,9397135,9671269,9845927
"54000","West Virginia","5","SA40","91","...","  Personal dividend income",62684,73388,72289,76566,78973,91612,103408,113633,109419,110376,126109,125632,129180,135942,148169,172035,198578,206884,241538,274563,302238,334690,348678,380021,418619,440637,461525,497959,528950,552907,643448,771362,822074,877550,930175,985786,1113616,1196441,1349515,1391323,1381692,1330443,1431186,1363492,1449432,1381778,1761924,1794940,2221929,2571885,2522313,1833483,1616459,2127658,2522104,2444219,2629265,2721877,2579447
"54000","West Virginia","5","SA40","92","...","  Personal interest income",123021,130935,145952,153817,165209,183250,204457,224829,238569,251324,263028,316360,376211,423833,472864,549100,659290,788064,873764,1027937,1154479,1328012,1721768,2182964,2553941,2705890,3062962,3219328,3365389,3361077,3478572,3805324,3946787,3804521,3761888,3706295,3723335,3950657,4090019,4290385,4631565,4507155,4829188,4816092,4500089,4256722,3932773,4065208,4363110,4834376,5034599,5121630,4577247,4641528,4603269,4431397,4367091,4390917,4535929
"54000","West Virginia","5","SA40","93","...","    Imputed interest receipts 1/",66400,73125,79300,85165,88815,93571,101657,110134,119178,126340,134503,142384,174895,201970,230007,256015,302103,391330,423360,484689,549485,590154,719724,839932,1034564,1249947,1333535,1504019,1632821,1723545,1769054,1859297,1958728,2012890,2113654,2185245,2230186,2376515,2431260,2605757,2645896,2669276,2783403,2750543,2778300,2746728,2751471,2674850,2751524,2935724,3202450,3470992,3312537,3345142,3287919,3294104,3205180,3267582,3387772
"54000","West Virginia","5","SA40","94","...","    Monetary interest receipts",56621,57810,66652,68652,76394,89679,102800,114695,119391,124984,128525,173976,201316,221863,242857,293085,357187,396734,450404,543248,604994,737858,1002044,1343032,1519377,1455943,1729427,1715309,1732568,1637532,1709518,1946027,1988059,1791631,1648234,1521050,1493149,1574142,1658759,1684628,1985669,1837879,2045785,2065549,1721789,1509994,1181302,1390358,1611586,1898652,1832149,1650638,1264710,1296386,1315350,1137293,1161911,1123335,1148157
"54000","West Virginia","5","SA40","95","...","  Rental income of persons 2/",99226,104528,111479,112428,120465,122427,118038,115556,114731,114830,109771,113015,121496,126111,132920,129311,134218,133145,120831,91110,98443,95829,107040,133248,123252,153591,150254,155801,111360,109254,142853,151536,193263,235147,359417,424342,477714,499770,551789,595181,656642,709674,753625,882089,938233,984624,1046052,928816,770824,677242,931688,1208223,1630708,1946648,2146361,2258993,2400779,2558475,2730551
"54000","West Virginia","5","SA40","96","...","    Imputed rent",67191,73200,78765,82059,86168,88117,88191,89796,92896,95586,93448,97283,102140,109460,109232,104196,106920,99837,86837,54161,60361,53852,50979,56909,30393,28057,16376,7924,-6563,161,36607,51201,82253,121497,175962,247011,298874,310396,363028,371246,430369,485081,526638,648832,710711,758928,807189,685593,525508,398661,585270,874775,1179894,1358253,1548379,1640417,1642634,1746452,1885615
"54000","West Virginia","5","SA40","97","...","    Monetary rent",32035,31328,32714,30369,34297,34310,29847,25760,21835,19244,16323,15732,19356,16651,23688,25115,27298,33308,33994,36949,38082,41977,56061,76339,92859,125534,133878,147877,117923,109093,106246,100335,111010,113650,183455,177331,178840,189374,188761,223935,226273,224593,226987,233257,227522,225696,238863,243223,245316,278581,346418,333448,450814,588395,597982,618576,758145,812023,844936
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
