"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"23000","Maine","1","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",15306205,16338775,17349676,18234742,18903292,19689031,20693233,21008224,22065935,23018137,23757638,23068780,23354863,23818410,24335160,24905145,25790583,26841674,27704924
"23000","Maine","1","SA7N 1/","81","111-112","  Farm wages and salaries",69137,62962,73081,75264,94378,84458,81776,65586,73092,84119,80095,76722,73393,64241,112627,116125,122921,102981,120032
"23000","Maine","1","SA7N 1/","82","...","  Nonfarm wages and salaries",15237068,16275813,17276595,18159478,18808914,19604573,20611457,20942638,21992843,22934018,23677543,22992058,23281470,23754169,24222533,24789020,25667662,26738693,27584892
"23000","Maine","1","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",12441779,13352428,14173993,14878100,15302886,15866790,16721088,16922842,17824891,18597292,19185714,18428035,18722613,19272786,19761135,20305097,21099756,22052488,22773066
"23000","Maine","1","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",95277,104218,111703,114625,114478,117140,128034,137664,149444,155372,"(D)","(D)",159934,162806,"(D)",166441,176245,187500,182514
"23000","Maine","1","SA7N 1/","101","113","        Forestry and logging",71055,74388,80241,81539,80651,82250,89330,95278,102234,106154,105699,99995,105962,103729,104016,105201,110601,115264,106530
"23000","Maine","1","SA7N 1/","102","114","        Fishing, hunting and trapping",9770,12177,12728,12520,14225,15221,16811,19388,23204,24329,22269,"(D)",25381,30167,32613,28601,30193,33948,37071
"23000","Maine","1","SA7N 1/","103","115","        Support activities for agriculture and forestry",14452,17653,18734,20566,19602,19669,21893,22998,24006,24889,"(D)",28324,28591,28910,"(D)",32639,35451,38288,38913
"23000","Maine","1","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(T)","(T)","(T)",3375,3765,3577,3346,3709,4261,4361,"(D)","(D)",9582,10801,"(D)",10438,11182,11384,12453
"23000","Maine","1","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,"(D)","(D)","(D)",0,0,0,0,0,0,0
"23000","Maine","1","SA7N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",4261,3794,4980,4852,"(D)","(D)",10343,10018,"(D)","(D)","(D)"
"23000","Maine","1","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",0,"(D)","(D)","(D)","(D)","(D)","(D)",420,"(D)","(D)","(D)"
"23000","Maine","1","SA7N 1/","300","22","      Utilities",117130,109159,113128,114592,118930,111882,111889,116499,113953,122905,127554,123290,129273,121714,126470,129450,136064,134820,137716
"23000","Maine","1","SA7N 1/","400","23","      Construction",748131,886806,957197,1014692,1011183,1088497,1136212,1146276,1217492,1250998,1240242,1068630,1039781,1107892,1143906,1171978,1225168,1273388,1335517
"23000","Maine","1","SA7N 1/","401","236","        Construction of buildings",166590,212937,255583,240425,250764,273642,288410,293751,311070,305709,296802,238083,232109,246141,248947,250859,269380,285839,304728
"23000","Maine","1","SA7N 1/","402","237","        Heavy and civil engineering construction",165164,200131,167969,178024,168392,184862,176173,157691,154929,164648,170745,152382,150926,162563,171839,181946,181028,180020,183046
"23000","Maine","1","SA7N 1/","403","238","        Specialty trade contractors",416377,473738,533645,596243,592027,629993,671629,694834,751493,780641,772695,678165,656746,699188,723120,739173,774760,807529,847743
"23000","Maine","1","SA7N 1/","500","31-33","      Manufacturing",2701553,2776204,2825281,2775620,2665091,2659351,2683848,2612395,2674672,2749733,2825394,2521911,2616002,2650934,2654928,2690146,2744967,2835050,2844009
"23000","Maine","1","SA7N 1/","510","321,327-339","        Durable goods manufacturing",1306316,1360336,1410203,1431712,1377761,1367630,1426292,1381156,1402434,1465806,1525081,1342340,1392963,1429730,1417047,1455558,1515702,1579803,1604689
"23000","Maine","1","SA7N 1/","511","321","          Wood product manufacturing",199060,206522,219294,209126,206537,201854,228060,230589,218069,212120,190959,146961,152852,156544,166437,177105,192880,196719,204166
"23000","Maine","1","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",42477,45501,47421,51888,50778,52311,54905,55789,59178,58952,56154,48228,48570,50305,49023,53174,56393,60392,67999
"23000","Maine","1","SA7N 1/","513","331","          Primary metal manufacturing",20312,17255,16228,17277,17107,16084,17376,16419,18071,19343,29729,16468,18285,18870,"(D)","(D)","(D)","(D)","(D)"
"23000","Maine","1","SA7N 1/","514","332","          Fabricated metal product manufacturing",161392,168873,188244,189957,180451,172881,178538,193343,210146,229512,271935,248003,260880,254218,261867,255586,254123,256484,256414
"23000","Maine","1","SA7N 1/","515","333","          Machinery manufacturing",98323,103752,119017,120304,107498,102580,105414,104427,106471,112041,118375,113609,115108,125542,129747,131728,136839,150143,136233
"23000","Maine","1","SA7N 1/","516","334","          Computer and electronic product manufacturing",228485,244628,289367,260026,230065,215594,227864,179714,181246,187194,183878,163173,168296,182572,144404,149570,142741,141733,136123
"23000","Maine","1","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",52466,56778,53592,47624,39345,41205,43937,42197,37851,34616,34711,22832,22454,21234,20447,21848,22766,24989,25018
"23000","Maine","1","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",13795,15747,17368,20325,22109,23371,24388,23576,22843,21203,19884,14930,12264,11807,"(D)","(D)","(D)","(D)","(D)"
"23000","Maine","1","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",392058,396208,357495,407987,418486,438669,441785,426046,437145,477492,495802,455978,486259,491837,498745,517747,549525,589842,599707
"23000","Maine","1","SA7N 1/","521","337","          Furniture and related product manufacturing",49880,56202,53087,57794,56785,53688,53918,50130,49312,51872,57426,48800,45809,49215,51384,50798,51916,55473,57812
"23000","Maine","1","SA7N 1/","522","339","          Miscellaneous manufacturing",48068,48870,49090,49404,48600,49393,50107,58926,62102,61461,66228,63358,62186,67586,62038,64596,70673,69363,72165
"23000","Maine","1","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",1395237,1415868,1415078,1343908,1287330,1291721,1257556,1231239,1272238,1283927,1300313,1179571,1223039,1221204,1237881,1234588,1229265,1255247,1239320
"23000","Maine","1","SA7N 1/","531","311","          Food manufacturing",155534,165224,186476,190482,187745,196946,202487,194380,198552,190222,192340,189846,186143,201708,192932,177761,183530,196462,205837
"23000","Maine","1","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",15305,17817,18383,17806,17179,25392,30407,47037,52405,64562,60086,60097,60357,61237,76889,66497,67348,76930,86328
"23000","Maine","1","SA7N 1/","533","313","          Textile mills",104307,95626,91371,67532,66092,67193,52147,52463,54073,55110,52928,39096,39958,41060,45336,46101,52138,52158,51537
"23000","Maine","1","SA7N 1/","534","314","          Textile product mills",34132,38820,41852,35796,30324,32992,35657,34599,36410,34762,36385,29536,25822,26238,27374,28746,28845,30303,32198
"23000","Maine","1","SA7N 1/","535","315","          Apparel manufacturing",22239,23358,22250,20821,20209,15133,13254,11318,10541,10320,9965,8725,9644,9765,14926,13157,10214,7854,6850
"23000","Maine","1","SA7N 1/","536","316","          Leather and allied product manufacturing",134871,127279,115398,110573,73844,72354,72322,69522,73750,69804,67387,52381,52101,52930,59021,58259,62910,71121,69354
"23000","Maine","1","SA7N 1/","537","322","          Paper manufacturing",681019,682222,673242,648546,635297,609380,577387,534607,535011,528582,533920,474898,486092,489109,477576,477819,449408,423267,362422
